Player_Name_CSV,Team_CSV,Role_CSV,Player_Name_DB
Iannoni,Sassuolo,C,1497
Idrissi,Cagliari,D,1266
Idzes,Sassuolo,D,1829
Iker_Bravo,Udinese,A,1563
Ilic,Torino,C,1420
Ilkhan,Torino,C,1851
Immobile,Bologna,A,1521
Isaksen,Lazio,C,1351
Ismajli,Torino,D,1196
Israel,Torino,P,1097
Jashari,Milan,C,1817
Jean,Lecce,D,1280
Joao_Mario_N,Juventus,D,1188
Johnsen,Cremonese,A,1556
Juan_Jesus,Napoli,D,1283
Kaba,Lecce,C,1492
Kabasele,Udinese,D,1294
Kalulu,Juventus,D,1178
Kamara,Udinese,D,1212
Karlstrom,Udinese,C,1436
Kastanos,Verona,C,1465
Kean,Fiorentina,A,1501
Kelly,Juventus,D,1205
Kempf,Como,D,1222
Kilicsoy,Cagliari,A,1807
Kolasinac,Atalanta,D,1199
Koopmeiners,Juventus,C,1350
Kossounou,Atalanta,D,1172
Kostic,Juventus,C,1458
Kouassi,Lecce,D,1253
Kristensen_T,Udinese,D,1236
Krstovic,Atalanta,A,1516
Kuhn,Como,C,1531
Lauriente,Sassuolo,A,1530
Lazaro,Torino,D,1211
Lazzari_M,Lazio,D,1252
Leali,Genoa,P,1098
Leao,Milan,A,1510
Leris,Pisa,C,1484
Lezzerini,Fiorentina,P,1800
Lipani,Sassuolo,C,1462
Liteta,Cagliari,C,1487
Lobotka,Napoli,C,1393
Locatelli_M,Juventus,C,1361
Loftus-Cheek,Milan,C,1409
Lookman,Atalanta,A,1503
Lovik,Parma,D,1306
Lovric,Udinese,C,1396
Lucca,Napoli,A,1529
Luis_Henrique,Inter,C,1414
Lukaku_R,Napoli,A,1502
Luperto,Cagliari,D,1200
Lusuardi,Pisa,D,1257
Luvumbo,Cagliari,A,1536
Lykogiannis,Bologna,D,1221
Maignan,Milan,P,1089
Maldini_D,Atalanta,C,1385
Maleh,Lecce,C,1425
Malinovskyi,Genoa,C,1405
Mancini,Roma,D,1164
Mandas,Lazio,P,1109
Mandragora,Fiorentina,C,1347
Manu_Kone,Roma,C,1352
Marcandalli,Genoa,D,1272
Marchwinski,Lecce,C,1493
Mari,Fiorentina,D,1203
Marianucci,Napoli,D,1282
Marin_M,Pisa,C,1432
Maripan,Torino,D,1210
Martin,Genoa,D,1166
Martinelli_T,Fiorentina,P,1121
Martinez_J,Inter,P,1112
Martinez_L,Inter,A,1500
Marusic,Lazio,D,1190
Masina,Torino,D,1292
Masini,Genoa,C,1441
Mathias_Olivera,Napoli,D,1169
Mazzitelli,Cagliari,C,1805
Mazzocchi,Napoli,D,1285
Mbambi,Pisa,D,1324
McKennie,Juventus,C,1379
McTominay,Napoli,C,1333
Meister,Pisa,A,1584
Meret,Napoli,P,1090
Messias,Genoa,C,1404
Milik,Juventus,A,1592
Milinkovic-Savic_V,Napoli,P,1106
Miller,Udinese,C,1833
Mina,Cagliari,D,1201
Miranda_J,Bologna,D,1173
Miretti,Juventus,C,1444
Mkhitaryan,Inter,C,1391
Modric,Milan,C,1363
Morata,Como,A,1819
Moreno_A,Como,D,1267
Morente,Lecce,C,1392
Moreo,Pisa,A,1571
Moro_L,Sassuolo,A,1596
Moro_N,Bologna,C,1467
Mosquera,Verona,A,1564
Muharemovic,Sassuolo,D,1234
Muric_A,Sassuolo,P,1827
Musah,Atalanta,C,1428
NDri,Lecce,A,1853
Nava,Cremonese,P,1119
Ndaba,Lecce,D,1322
Ndiaye_A,Parma,D,1810
Ndicka,Roma,D,1171
Ndour,Fiorentina,C,1481
Neres,Napoli,C,1353
Ngonge,Torino,A,1548
Niasse,Verona,C,1478
Nico_Paz,Como,C,1337
Nicolas,Pisa,P,1135
Njie,Torino,C,1598
Nkounkou,Torino,D,1867
Nkunku,Milan,A,1855
Noa_Lang,Napoli,C,1522
Norton-Cuffy,Genoa,D,1274
Noslin,Lazio,A,1560
Nuno_Tavares,Lazio,D,1159
Nunziante,Udinese,P,1799
Nzola,Pisa,A,1818
Obert,Cagliari,D,1242
Odenthal,Sassuolo,D,1290
Odgaard,Bologna,A,1340
Okereke,Cremonese,A,1567
Okoye,Udinese,P,1103
Ondrejka,Parma,C,1354
Openda,Juventus,A,1859
Orban_G,Verona,A,1872
Ordonez,Parma,C,1446
Oristanio,Parma,C,1864
Orsolini,Bologna,C,1330
Ostigard,Genoa,D,1239
Otoa,Genoa,D,1303
Oyegoke,Verona,D,1312
Padelli,Udinese,P,1143
Paleari,Torino,P,1141
Palestra,Cagliari,C,1264
Palma_M,Udinese,D,1329
Parisi_F,Fiorentina,D,1226
Pasalic,Atalanta,C,1384
Patric,Lazio,D,1251
Pavlovic_S,Milan,D,1206
Pavoletti,Cagliari,A,1586
Payero,Cremonese,C,1463
Paz_Y,Sassuolo,D,1327
Pedersen,Torino,D,1260
Pedro_R,Lazio,A,1533
Pellegrini,Roma,C,1376
Pellegrini_Lu,Lazio,D,1278
Pellegrino_Ma,Parma,A,1535
Perez_M,Lecce,D,1320
Perilli,Verona,P,1144
Perin,Juventus,P,1125
Perrone,Como,C,1401
Pessina_M,Bologna,P,1115
Pezzella,Cremonese,D,1224
Piccinini_G,Pisa,C,1430
Piccoli,Fiorentina,A,1524
Pieragnolo,Sassuolo,D,1310
Pierini,Sassuolo,A,1572
Pierotti,Lecce,A,1380
Pierret,Lecce,C,1426
Pinamonti,Sassuolo,A,1526
Pinsoglio,Juventus,P,1126
Piotrowski,Udinese,C,1804
Pisilli,Roma,C,1419
Pobega,Bologna,C,1399
Politano,Napoli,A,1344
Pongracic,Fiorentina,D,1225
Popa,Torino,P,1142
Posch,Como,D,1220
Prati,Cagliari,C,1468
Provedel,Lazio,P,1094
Provstgaard,Lazio,D,1277
Pulisic,Milan,C,1331
Rabiot,Milan,C,1862
Radunovic,Cagliari,P,1117
Rafia,Lecce,C,1473
Ramadani,Lecce,C,1427
Ramon_J,Como,D,1801
Ranieri,Fiorentina,D,1204
Ravaglia_F,Bologna,P,1108
Rensch,Roma,D,1233
Ricci_S,Milan,C,1381
Richardson,Fiorentina,C,1455
Rinaldi,Parma,P,1134
Rodriguez_J,Como,C,1566
Rog,Cagliari,C,1849
Romagna,Sassuolo,D,1259
Romagnoli_A,Lazio,D,1189
Rossi_F,Atalanta,P,1113
Rouhi,Juventus,D,1318
Rovella,Lazio,C,1407
Rrahmani,Napoli,D,1163
Rugani,Juventus,D,1275
Rui_Modesto,Udinese,D,1296
Sabelli,Genoa,D,1227
Sabiri,Fiorentina,C,1482
Saelemaekers,Milan,C,1362
Sala_M,Como,D,1258
Samardzic,Atalanta,C,1356
Samooja,Lecce,P,1129
Sanabria,Cremonese,A,1561
Satalino,Sassuolo,P,1139
Sava,Udinese,P,1107
Scalvini,Atalanta,D,1181
Scamacca,Atalanta,A,1519
Schuurs,Torino,D,1291
Scuffet,Pisa,P,1110
Semper,Pisa,P,1111
Serdar,Verona,C,1450
Sergi_Roberto,Como,C,1453
Sernicola,Cremonese,D,1317
Siegrist,Genoa,P,1122
Silvestri,Cremonese,P,1828
Simeone,Torino,A,1552
Skjellerup,Sassuolo,A,1597
Skorupski,Bologna,P,1095
Slotsager,Verona,D,1311
Smolcic,Como,D,1300
Sohm,Fiorentina,C,1364
Solet,Udinese,D,1165
Sommariva,Genoa,P,1123
Sommer,Inter,P,1087
Sorensen_O,Parma,C,1832
Sottil,Lecce,C,1831
Soule,Roma,C,1517
Spinazzola,Napoli,D,1207
Sportiello,Atalanta,P,1114
Stanciu,Genoa,C,1406
Sucic,Inter,C,1390
Sulemana,Bologna,C,1451
Sulemana_K,Atalanta,C,1545
Suslov,Verona,C,1397
Suzuki,Parma,P,1100
Svilar,Roma,P,1091
Tameze,Torino,C,1448
Terracciano,Milan,P,1130
Terracciano_F,Cremonese,D,1304
Thorsby,Genoa,C,1443
Thorstvedt,Sassuolo,C,1412
Thuram,Inter,A,1504
Thuram_K,Juventus,C,1341
Tiago_Gabriel,Lecce,D,1319
Tomori,Milan,D,1193
Torriani,Milan,P,1131
Toure_Id,Pisa,C,1431
Tramoni,Pisa,C,1365
Turati,Sassuolo,P,1101
Unai_Nunez,Verona,D,1238
Valenti,Parma,D,1255
Valentini_N,Verona,D,1262
Valeri,Parma,D,1170
Valoti,Cremonese,C,1413
Vandeputte,Cremonese,C,1359
Vardy,Cremonese,A,1863
Vasquez,Genoa,D,1174
Vasquez_D,Roma,P,1145
Vazquez,Cremonese,C,1378
Vecino,Lazio,C,1424
Venturino,Genoa,A,1470
Vergara,Napoli,C,1854
Vigorito,Como,P,1118
Viti,Fiorentina,D,1248
Vitik,Bologna,D,1183
Vitinha,Genoa,A,1538
Vlahovic,Juventus,A,1509
Vlasic,Torino,C,1345
Vojvoda,Como,D,1215
Volpato_C,Sassuolo,C,1447
Vural,Pisa,C,1476
Walukiewicz,Sassuolo,D,1235
Wesley_F,Roma,D,1154
Yildiz,Juventus,A,1508
Zaccagni,Lazio,C,1332
Zalewski,Atalanta,D,1423
Zaniolo,Udinese,C,1861
Zanoli,Udinese,D,1284
Zapata_D,Torino,A,1518
Zappa,Cagliari,D,1214
Zappacosta,Atalanta,D,1156
Zarraga,Udinese,C,1485
Zelezny,Roma,P,1136
Zemura,Udinese,D,1295
Zerbin,Cremonese,C,1475
Zhegrova,Juventus,C,1865
Zielinski,Inter,C,1457
Zortea,Bologna,D,1149
----------------------------WRONG-----------------------------------
Amin_Sarr,Verona,A
Danilo_Veiga,Lecce,D
Di_Gennaro_R,Inter,P
Lucumi,Bologna,D
Montipo,Verona,P
Van_der_Brempt,Como,D
---------------------------NOT ALIGNED------------------------------------
Agbonifo,Inter,C,
Ajayi,Verona,A,
Akpa-Akpro,Verona,C,
Al-Musrati,Verona,C,
Albiol,Pisa,D,
Alex_Sala,Lecce,C,
Alexiou,Inter,D,
Ambrosino,Napoli,A,
Amin_Sarr,Verona,A,
Anghele,Juventus,A,
Bakker,Atalanta,D,
Balentien,Milan,A,
Begic,Parma,C,
Bella-Kotchap,Verona,D,
Berenbruch,Inter,C,
Bernasconi,Atalanta,C,
Bonifazi,Bologna,D,
Bove,Roma,C,
Buksa_A,Udinese,A,
Calligaris,Inter,P,
Cande,Sassuolo,D,
Cassa,Atalanta,C,
Cavuoti,Cagliari,C,
Cerri,Como,A,
Cham,Verona,D,
Cheddira,Sassuolo,A,
Cittadini,Atalanta,D,
Cocchi,Inter,D,
Cornet,Genoa,C,
Coulibaly_W,Sassuolo,D,
Crapisto,Juventus,C,
Cremaschi,Parma,C,
Cuenca,Genoa,C,
Danilo_Veiga,Lecce,D,
Delle_Monache,Lecce,A,
Dembele_A,Torino,D,
Di_Gennaro_R,Inter,P,
Diego_Carlos,Como,D,
Diouf_A,Inter,C,
Faye,Cremonese,D,
Feola,Verona,D,
Fernandes_S,Lazio,A,
Ferrante,Napoli,P,
Fini,Genoa,A,
Gabellini,Torino,A,
Gorter,Lecce,C,
Guaita,Parma,P,
Gueye,Udinese,A,
Guilbert,Lecce,D,
Infantino,Fiorentina,C,
Kamenovic,Lazio,D,
Kone_I,Sassuolo,C,
Kospo,Fiorentina,D,
Kouadio,Fiorentina,D,
Kouame,Fiorentina,A,
Lafont_G,Genoa,C,
Lamptey,Fiorentina,D,
Lordkipanidze,Cremonese,C,
Lorran,Pisa,C,
Lucumi,Bologna,D,
Luna,Verona,A,
Macchioni,Sassuolo,D,
Mandela_Keita,Parma,C,
Manzoni_A,Atalanta,C,
Matic,Sassuolo,C,
Misitano,Atalanta,A,
Montipo,Verona,P,
Moumbagna,Cremonese,A,
Munoz,Lazio,C,
Nelsson,Verona,D,
Odogu,Milan,D,
Onana_J,Genoa,C,
Palacios,Inter,D,
Papadopoulos,Atalanta,C,
Pedro_Felipe,Juventus,D,
Perciun,Torino,C,
Perez_A,Torino,D,
Pintus,Cagliari,D,
Pisano_M,Como,A,
Plicco,Parma,C,
Pugno,Juventus,A,
Razi,Como,C,
Rocchetti,Cremonese,D,
Rodriguez_Ju,Cagliari,D,
Romano,Roma,C,
Rowe,Bologna,C,
Sangare,Roma,D,
Sarmiento,Cremonese,C,
Savva,Torino,A,
Sazonov,Torino,D,
Scott,Lecce,D,
Scotti,Milan,A,
Siebert,Lecce,D,
Stengs,Pisa,C,
Stulic,Lecce,A,
Tomczyk,Bologna,C,
Toniolo,Verona,P,
Topalovic,Inter,C,
Traore_C,Milan,C,
Troilo,Parma,D,
Tsimikas,Roma,D,
Van_der_Brempt,Como,D,
Vavassori,Atalanta,A,
Vos,Milan,C,
Vranckx,Sassuolo,C,
Yellu_Santiago,Verona,C,
Yildiz_V,Verona,C,
Yilmaz,Lecce,C,
Zacchi,Sassuolo,P,
Ze_Pedro,Cagliari,D,
Ziolkowski,Roma,D,
---------------------------DB------------------------------------
Sommer,1087,
Di_Gregorio,1088,
Maignan,1089,
Meret,1090,
Svilar,1091,
Carnesecchi,1092,
De_Gea,1093,
Provedel,1094,
Skorupski,1095,
Butez,1096,
Israel,1097,
Leali,1098,
Caprile,1099,
Suzuki,1100,
Turati,1101,
Falcone,1102,
Okoye,1103,
Audero,1104,
Montipò,1105,
Milinkovic-Savic_V,1106,
Sava,1107,
Ravaglia_F,1108,
Mandas,1109,
Scuffet,1110,
Semper,1111,
Dodo_D,1161,
Rossi_F,1113,
Sportiello,1114,
Mancini,1164,
Ciocci,1116,
Radunovic,1117,
Vigorito,1118,
Nava,1119,
Martinelli_T,1121,
Siegrist,1122,
Sommariva,1123,
Di_Gennaro,1124,
Perin,1125,
Pinsoglio,1126,
Furlanetto,1127,
Fruchtl,1128,
Samooja,1129,
Terracciano,1130,
Torriani,1131,
Contini,1132,
Corvi,1133,
Rinaldi,1134,
Nicolas,1135,
Zelezny,1136,
Gollini,1137,
Satalino,1139,
Paleari,1141,
Popa,1142,
Padelli,1143,
Perilli,1144,
Vasquez_D,1145,
Dumfries,1146,
Dimarco,1147,
Gosens,1148,
Mari,1203,
Bastoni,1150,
Cambiaso,1151,
Angelino,1152,
Di_Lorenzo,1153,
Bellanova,1155,
Zappacosta,1156,
Bremer,1157,
Buongiorno,1158,
Hien,1160,
Estupinan,1162,
Rrahmani,1163,
Solet,1165,
Martin,1166,
Carlos_Augusto,1167,
Beukema,1168,
Valeri,1170,
Kossounou,1172,
Vasquez,1174,
Acerbi,1175,
Bisseck,1176,
De_Vrij,1177,
Kalulu,1178,
Gila,1179,
Djimsiti,1180,
Scalvini,1181,
Lucumì,1182,
Vitik,1183,
Holm,1184,
Coco_S,1195,
Gatti,1187,
Marusic,1190,
Baschirotto,1191,
Gaspar_K,1192,
Tomori,1193,
Delprato,1194,
Ismajli,1196,
Biraghi,1197,
Kolasinac,1199,
Luperto,1200,
Mina,1201,
Comuzzo,1202,
Joao_Mario_N,1188,
Miranda_J,1173,
Nuno_Tavares,1159,
Zortea,1149,
Mathias_Olivera,1169,
Ndicka,1171,
Spinazzola,1207,
Celik,1209,
Maripan,1210,
Lazaro,1211,
Coppola_Fr,1323,
Ahanor,1213,
Zappa,1214,
Vojvoda,1215,
Gabbia,1217,
Doig,1218,
Bertola,1219,
Lykogiannis,1221,
Kempf,1222,
Dossena_A,1243,
Pongracic,1225,
Sabelli,1227,
Cabal,1228,
Gallo,1229,
Circati,1231,
Angori,1232,
Rensch,1233,
Muharemovic,1234,
Walukiewicz,1235,
Kristensen_T,1236,
Ehizibue,1237,
Unai_Nunez,1238,
Ostigard,1239,
Casale,1240,
De_Silvestri,1241,
Obert,1242,
Goldaniga,1244,
Van_Der_Brempt,1245,
Folino,1246,
Ceccherini,1247,
Viti,1248,
Darmian,1249,
Gigot,1250,
Patric,1251,
Kouassi,1253,
Valenti,1255,
Caracciolo_A,1256,
Lazzari_M,1252,
Romagna,1259,
Pedersen,1260,
Silvestri,1828,
Valentini_N,1262,
Ebosse,1263,
Parisi_F,1226,
Bianchetti,1268,
Barbieri,1270,
Fortini,1271,
Marcandalli,1272,
Vogliacco,1273,
Norton-Cuffy,1274,
Rugani,1275,
Savona,1276,
Provstgaard,1277,
Pellegrini_Lu,1278,
Hysaj,1279,
Jean,1280,
Bartesaghi,1281,
Marianucci,1282,
Juan_Jesus,1283,
Mazzocchi,1285,
Balogh,1286,
Canestrelli,1287,
Calabresi,1288,
Hermoso,1289,
Odenthal,1290,
Schuurs,1291,
Masina,1292,
Kabasele,1294,
Zemura,1295,
Rui_Modesto,1296,
Frese,1297,
Di_Pardo,1299,
Pavlovic_S,1206,
Jack,1301,
Otoa,1303,
Lovik,1306,
Rus,1307,
Missori,1309,
Pieragnolo,1310,
Slotsager,1311,
Oyegoke,1312,
Ilic_M,1313,
Veroli,1315,
Sernicola,1317,
Rouhi,1318,
Tiago_Gabriel,1319,
Perez_M,1320,
Veiga_D,1321,
Ndaba,1322,
Floriani_M,1223,
Alex_Valle,1216,
Palestra,1264,
Zanoli,1284,
Bonfanti,1298,
Posch,1220,
Mbambi,1324,
De_Winter,1185,
Paz_Y,1327,
Dembelè_A,1328,
Orsolini,1330,
Pulisic,1331,
Zaccagni,1332,
McTominay,1333,
Manu_Kone,1352,
Calhanoglu,1335,
De_Bruyne,1336,
Conceicao,1339,
Odgaard,1340,
Thuram_K,1341,
Ederson_J,1342,
Politano,1344,
Vlasic,1345,
Mandragora,1347,
Barella,1348,
Frattesi,1349,
Koopmeiners,1350,
Isaksen,1351,
Neres,1353,
Ondrejka,1354,
De_Roon,1355,
Samardzic,1356,
Caqueret,1357,
Da_Cunha,1358,
Vandeputte,1359,
Gronbaek,1360,
Saelemaekers,1362,
Modric,1363,
Pellegrino_Ma,1535,
Nico_Paz,1337,
Casadei,1366,
Freuler,1367,
Ferguson,1368,
Fazzini,1369,
Carboni_V,1370,
Guendouzi,1371,
Musah,1428,
Fofana_Y,1373,
Esteves_T,1325,
Fabbian,1377,
Vazquez,1378,
McKennie,1379,
Pierotti,1380,
Ricci_S,1381,
Anjorin,1382,
Ekkelenkamp,1383,
Pasalic,1384,
Bernardeschi,1386,
Folorunsho,1387,
Baturina,1388,
Frendrup,1389,
Locatelli_M,1361,
Mkhitaryan,1391,
Maldini_D,1385,
Lobotka,1393,
Cristante,1394,
El_Aynaoui,1395,
Lovric,1396,
Suslov,1397,
Brescianini,1398,
Pobega,1399,
Gaetano,1400,
Perrone,1401,
Collocolo,1402,
Fagioli,1403,
Messias,1404,
Malinovskyi,1405,
Stanciu,1406,
Rovella,1407,
Helgason,1408,
Loftus-Cheek,1409,
El_Shaarawy,1410,
Baldanzi,1411,
Thorstvedt,1412,
Valoti,1413,
Luis_Henrique,1414,
Coulibaly_L,1416,
Gilmour,1417,
Hernani,1418,
Pisilli,1419,
Ilic,1420,
Harroui,1421,
Felici,1422,
Palma_M,1329,
Vecino,1424,
Maleh,1425,
Pierret,1426,
Ramadani,1427,
Keita_M,1429,
Piccinini_G,1430,
Marin_M,1432,
Boloca,1433,
Konè_I,1434,
Fadera,1435,
Karlstrom,1436,
Atta,1437,
Adopo,1438,
Deiola,1439,
Masini,1441,
Ellertsson,1442,
Zalewski,1423,
Pellegrini,1376,
Bernabe,1374,
Toure_Id,1431,
Thorsby,1443,
Miretti,1444,
Cataldi,1445,
Gonzalez_N,1539,
Tameze,1448,
Gineitis,1449,
Serdar,1450,
Idzes,1829,
Sergi_Roberto,1453,
Grassi,1454,
Richardson,1455,
Zielinski,1457,
Kostic,1458,
Belahyane,1459,
Chukwueze,1460,
Ghion,1461,
Lipani,1462,
Bernede,1464,
Kastanos,1465,
Moro_N,1467,
Prati,1468,
Castagnetti,1469,
Venturino,1470,
Berisha_M,1472,
Rafia,1473,
Zerbin,1475,
Vural,1476,
Niasse,1478,
Engelhardt,1479,
Pickel,1480,
Ndour,1481,
Sabiri,1482,
Estevez,1483,
Leris,1484,
Zarraga,1485,
Santiago,1486,
Liteta,1487,
Alli,1489,
Basic,1491,
Kaba,1492,
Marchwinski,1493,
Hojholt,1495,
Arena,1496,
Iannoni,1497,
Pafundi,1498,
Martinez_L,1500,
Kean,1501,
Lookman,1503,
Thuram,1504,
David,1505,
Dybala,1506,
Yildiz,1508,
Vlahovic,1509,
Leao,1510,
De_Ketelaere,1511,
Castellanos,1512,
Dovbyk,1513,
Berardi,1514,
Dia,1515,
Pedro_R,1533,
Zapata_D,1518,
Scamacca,1519,
Castro_S,1520,
Immobile,1521,
Ferguson_E,1523,
Pinamonti,1526,
Dzeko,1528,
Lucca,1529,
Kuhn,1531,
Bianco_A,1490,
Luvumbo,1536,
Colombo,1537,
Gimenez_S,1507,
Camarda,1540,
Lukaku_R,1502,
Cambiaghi,1542,
Dallinga,1543,
Sulemana_K,1545,
Djuric,1547,
Ngonge,1548,
Aboukhlal,1549,
Douvikas,1550,
De_Luca,1551,
Volpato_C,1447,
Sarr_A,1553,
Tourè_E,1554,
Addai,1555,
Johnsen,1556,
Adams,1532,
Noslin,1560,
Beltran,1557,
Simeone,1552,
Soule,1517,
Krstovic,1516,
Sanabria,1561,
Noa_Lang,1522,
Payero,1463,
Lauriente,1530,
Piccoli,1524,
Cutrone,1544,
Asllani,1456,
Sulemana,1451,
Assane_Diao,1525,
Dominguez_B,1546,
Mosquera,1564,
Borrelli,1565,
Okereke,1567,
Bonny,1568,
Banda,1569,
NDri,1853,
Moreo,1571,
Pierini,1572,
Mulattieri,1573,
Taremi,1574,
Okafor,1575,
Almqvist,1576,
Lind,1577,
Karlsson,1579,
Cancellieri,1580,
Brenner,1581,
Ekuban,1583,
Meister,1584,
